LongerDesign-lesstriangles2-rearleft
30m/s T6/1-Quads-ThickSurf-ForceSum-REAR_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          9            0            0      0.58227     0.045045    0.0055625     0.039483    -0.017823      -1.2326    -0.026488      -1.2061      0.32343    -0.007991    -0.002546   -0.0054449       12.926       9.8637       1.3105       1793.5      -809.64        26450       1793.5      -809.64        26450            0            0            0       29.911      0.76637           30       4.4237      -7345.9       -11758        181.5      0.94587      -0.2471   -0.0072076            0       2210.3      0.11957        1.107      0.55076            0            0            0            0            0            0            0            0            0          294         0.58            1  
         10            0            0      0.63483     0.052819    0.0058989      0.04692    -0.020288      -1.3575     -0.02809      -1.3294      0.35449     -0.01004    -0.002753   -0.0072869       12.019       9.5762       1.2551       2131.4      -921.62        28838       2131.4      -921.62        28838            0            0            0       29.897      0.78938           30       4.7562      -8051.4       -12949       228.04      0.94422     -0.24717   -0.0093157            0       2276.7      0.14203       1.1073      0.59942            0            0            0            0            0            0            0            0            0          294         0.58            1  
         11            0            0      0.68708     0.061332      0.00629     0.055042    -0.022967      -1.4853    -0.029952      -1.4554      0.38585    -0.012297   -0.0029858   -0.0093112       11.203       9.2859       1.2064       2500.3      -1043.3        31211       2500.3      -1043.3        31211            0            0            0       29.881      0.81405           30        5.101      -8763.8       -14169        279.3      0.94275     -0.24724    -0.011322            0       2347.8      0.16653       1.1057      0.64775            0            0            0            0            0            0            0            0            0          294         0.58            1  
         12            0            0      0.73903     0.070538    0.0066953     0.063843    -0.025859       -1.616    -0.031882      -1.5841      0.41753     -0.01474   -0.0032211    -0.011519       10.477       9.0068       1.1632       2900.1      -1174.7        33571       2900.1      -1174.7        33571            0            0            0       29.864      0.83928           30       5.4522      -9483.3       -15416       334.78      0.94141     -0.24732    -0.013248            0       2420.6      0.19305       1.1029      0.69573            0            0            0            0            0            0            0            0            0          294         0.58            1  
         13            0            0      0.79062     0.080438    0.0071215     0.073316    -0.028958      -1.7493    -0.033912      -1.7154      0.44948    -0.017372   -0.0034633    -0.013908       9.8289       8.7396       1.1246       3330.4      -1315.5        35914       3330.4      -1315.5        35914            0            0            0       29.846      0.86495           30       5.8093       -10209       -16687       394.56      0.94016      -0.2474    -0.015105            0       2494.6      0.22155       1.0991      0.74331            0            0            0            0            0            0            0            0            0          294         0.58            1  
         14            0            0      0.84185        0.091    0.0075524     0.083448    -0.032266      -1.8852    -0.035964      -1.8492      0.48171    -0.020181   -0.0037032    -0.016477        9.251        8.488       1.0899       3790.7      -1465.7        38242       3790.7      -1465.7        38242            0            0            0       29.826      0.89058           30       6.1695       -10941       -17984       458.36      0.93899     -0.24748    -0.016906            0       2568.6      0.25201       1.0948      0.79049            0            0            0            0            0            0            0            0            0          294         0.58            1  
         15            0            0      0.89263      0.10221    0.0079863     0.094225    -0.035777      -2.0234     -0.03803      -1.9854      0.51417    -0.023164   -0.0039417    -0.019223       8.7332        8.251       1.0584       4280.3      -1625.2        40549       4280.3      -1625.2        40549            0            0            0       29.805      0.91616           30       6.5323       -11678       -19302       526.13      0.93788     -0.24756    -0.018657            0       2642.3      0.28435       1.0901      0.83718            0            0            0            0            0            0            0            0            0          294         0.58            1  
         16            0            0      0.94299      0.11406    0.0084199      0.10564     -0.03949      -2.1639    -0.040095      -2.1238      0.54686     -0.02632   -0.0041797    -0.022141       8.2677       8.0285       1.0298       4798.7      -1793.8        42836       4798.7      -1793.8        42836            0            0            0       29.783      0.94155           30       6.8966       -12421       -20643       597.81      0.93681     -0.24765    -0.020365            0       2715.6      0.31855       1.0852       0.8834            0            0            0            0            0            0            0            0            0          294         0.58            1  
         17            0            0       0.9929      0.12654    0.0088667      0.11768    -0.043401      -2.3067    -0.042222      -2.2645      0.57979    -0.029656   -0.0044226    -0.025234       7.8463       7.8184       1.0036       5345.6      -1971.5        45103       5345.6      -1971.5        45103            0            0            0       29.759      0.96686           30       7.2631       -13169       -22005       673.58      0.93577     -0.24774    -0.022034            0       2788.5      0.35458         1.08      0.92913            0            0            0            0            0            0            0            0            0          294         0.58            1  
         18            0            0       1.0423      0.13965    0.0093297      0.13032    -0.047507      -2.4516    -0.044427      -2.4072      0.61289    -0.033167   -0.0046727    -0.028494       7.4634       7.6197       0.9795       5920.1        -2158        47347       5920.1        -2158        47347            0            0            0       29.734      0.99207           30       7.6314       -13920       -23387       753.31      0.93475     -0.24784    -0.023668            0       2861.3      0.39236       1.0746       0.9743            0            0            0            0            0            0            0            0            0          294         0.58            1  
