LongerDesign-lesstriangles2-front
25m/s T6/1-Quads-ThickSurf-ForceSum-FRONT_LEFT_(0.00,1.00)


 Ctrl        Alpha        Beta         CL           CD           CD_viscous   CD_induced   CY           Cm           Cm_viscous   Cm_pressure  Cl           Cn           Cn_viscous   Cn_pressure  CL/CD        CL^(3/2)/CD  1/sqrt(CL)   Fx_FF_(N)    Fy_FF_(N)    Fz_FF_(N)    Fx_sum_(N)   Fy_sum_(N)   Fz_sum_(N)   Extra_drag_(N)  Fuse_drag_(N)  Cf_Fuse      Vx_(m/s)     Vz_(m/s)     V_(m/s)      Gamma        L_(N.m)      M_(N.m)      N_(N.m)      CPx_(m)      CPy_(m)      CPz_(m)      BM_(N.m)     m.g.Vz_(W)   Fx.Vx_(W)    Efficiency   XCp.Cl       XNP_(m)      Phugoid_Freq._(Hz)  Phugoid_Damping  Short_Period_Freq._(Hz)  Short_Period_Damping_Ratio  Dutch_Roll_Freq._(Hz)  Dutch_Roll_Damping  Roll_Damping  Spiral_Damping  Mass_(kg)    CoG_x_(m)    CoG_z_(m)    
          1            0            0      0.18847     0.010876    0.0056262    0.0052494   -0.0040781      0.53468    -0.037015      0.57169      0.10103   -0.0090224   -0.0026243   -0.0063981        17.33       7.5234       2.3034       122.66      -95.294         4404       122.66      -95.294         4404            0            0            0       24.958       1.1674           25       3.3026      -1180.4       1899.1       105.41       0.0911     -0.24652      0.01622            0         3367    0.0098262      0.64617      0.01717            0            0            0            0            0            0            0            0            0          294         0.58            1  
          2            0            0       0.2508     0.012889     0.005455    0.0074338   -0.0044341      0.73744    -0.035888      0.77333      0.13258    -0.010355   -0.0025357   -0.0078192       19.459       9.7448       1.9968       173.71      -103.61       5860.4       173.71      -103.61       5860.4            0            0            0       24.967       0.9013           25       2.9419        -1549       2619.2       120.98     0.081647     -0.24674     0.011065            0       2599.5      0.01392      0.80799     0.020477            0            0            0            0            0            0            0            0            0          294         0.58            1  
          3            0            0      0.31305      0.01567    0.0053306      0.01034   -0.0049062      0.93489     -0.03507      0.96996      0.16433    -0.012187   -0.0024769   -0.0097098       19.977       11.178       1.7873       241.61      -114.64       7315.1       241.61      -114.64       7315.1            0            0            0       24.969      0.78577           25       2.8656        -1920       3320.6       142.38     0.075925     -0.24688    0.0076197            0       2266.3     0.019362       0.9051     0.023768            0            0            0            0            0            0            0            0            0          294         0.58            1  
          4            0            0       0.3752     0.019215    0.0052491     0.013965    -0.005494        1.127    -0.034533       1.1615      0.19627    -0.014509     -0.00244    -0.012069       19.527       11.961       1.6326       326.33      -128.38       8767.4       326.33      -128.38       8767.4            0            0            0       24.967      0.73431           25       2.9316      -2293.1       4002.8       169.52     0.072064     -0.24698    0.0050329            0       2117.9     0.026151       0.9626     0.027038            0            0            0            0            0            0            0            0            0          294         0.58            1  
          5            0            0      0.43722     0.023546    0.0052366     0.018309   -0.0061971       1.3134    -0.034451       1.3479      0.22838    -0.017339   -0.0024425    -0.014896       18.569       12.278       1.5123       427.83      -144.81        10217       427.83      -144.81        10217            0            0            0       24.964      0.71533           25       3.0826      -2668.4         4665       202.58      0.06926     -0.24706    0.0029391            0       2063.1      0.03428      0.99702     0.030282            0            0            0            0            0            0            0            0            0          294         0.58            1  
          6            0            0      0.49908      0.02872     0.005352     0.023368    -0.007015       1.4938     -0.03521        1.529      0.26066    -0.020706   -0.0025164     -0.01819       17.378       12.277       1.4155       546.03      -163.92        11662       546.03      -163.92        11662            0            0            0       24.959      0.71543           25       3.2935      -3045.5       5305.6       241.92     0.067109     -0.24713    0.0011552            0       2063.4     0.043742       1.0179     0.033493            0            0            0            0            0            0            0            0            0          294         0.58            1  
          7            0            0      0.56075     0.034737    0.0056002     0.029137   -0.0079471       1.6679    -0.036843       1.7048      0.29309    -0.024609   -0.0026615    -0.021948       16.143       12.088       1.3354       680.85       -185.7        13103       680.85       -185.7        13103            0            0            0       24.952      0.72659           25       3.5448      -3424.4       5924.2       287.52     0.065388      -0.2472  -0.00042048            0       2095.6     0.054528       1.0305     0.036666            0            0            0            0            0            0            0            0            0          294         0.58            1  
          8            0            0      0.62221     0.041601    0.0059874     0.035614   -0.0089926       1.8358    -0.039391       1.8752      0.32566    -0.029047   -0.0028796    -0.026168       14.957       11.798       1.2677       832.19      -210.13        14539       832.19      -210.13        14539            0            0            0       24.944      0.74447           25       3.8251      -3804.9       6520.4       339.38     0.063961     -0.24727   -0.0018487            0       2147.2     0.066627       1.0381     0.039797            0            0            0            0            0            0            0            0            0          294         0.58            1  
          9            0            0      0.68342      0.04926    0.0064681     0.042791    -0.010151       1.9976    -0.042553       2.0401      0.35835    -0.033988   -0.0031401    -0.030848       13.874       11.469       1.2096       999.92       -237.2        15970       999.92       -237.2        15970            0            0            0       24.935      0.76578           25       4.1226      -4186.8         7095        397.1     0.062743     -0.24733   -0.0031682            0       2208.6     0.080026       1.0423      0.04288            0            0            0            0            0            0            0            0            0          294         0.58            1  
         10            0            0      0.74436     0.057686     0.007021     0.050665    -0.011421       2.1534     -0.04619       2.1996      0.39114    -0.039418   -0.0034345    -0.035984       12.904       11.133       1.1591       1183.9      -266.87        17394       1183.9      -266.87        17394            0            0            0       24.925      0.78893           25       4.4314        -4570       7648.4       460.55     0.061677      -0.2474   -0.0044043            0       2275.4     0.094712       1.0443      0.04591            0            0            0            0            0            0            0            0            0          294         0.58            1  
         11            0            0        0.805     0.066839    0.0076123     0.059227    -0.012802       2.3034    -0.050081       2.3535      0.42404     -0.04532   -0.0037468    -0.041574       12.044       10.806       1.1146         1384      -299.14        18811         1384      -299.14        18811            0            0            0       24.914       0.8128           25       4.7464      -4954.3       8181.2        529.5     0.060722     -0.24746   -0.0055746            0       2344.2      0.11067       1.0448     0.048881            0            0            0            0            0            0            0            0            0          294         0.58            1  
         12            0            0      0.86532     0.076692     0.008221     0.068471    -0.014292       2.4476    -0.054086       2.5017      0.45701    -0.051679   -0.0040665    -0.047613       11.283       10.496        1.075         1600      -333.97        20220         1600      -333.97        20220            0            0            0       24.902      0.83682           25       5.0648      -5339.5       8693.6        603.8     0.059851     -0.24753   -0.0066915            0       2413.5      0.12788       1.0443      0.05179            0            0            0            0            0            0            0            0            0          294         0.58            1  
         13            0            0      0.92528     0.087219    0.0088318     0.078387    -0.015891       2.5863    -0.058104       2.6444      0.49005    -0.058481   -0.0043832    -0.054098       10.609       10.205       1.0396       1831.7      -371.34        21621       1831.7      -371.34        21621            0            0            0        24.89      0.86069           25       5.3849      -5725.6       9185.9       683.27     0.059043      -0.2476    -0.007764            0       2482.4      0.14633        1.043     0.054631            0            0            0            0            0            0            0            0            0          294         0.58            1  
         14            0            0      0.98486     0.098415    0.0094465     0.088969    -0.017598       2.7192    -0.062148       2.7813      0.52315    -0.065725   -0.0047011    -0.061024       10.007       9.9312       1.0077       2078.9      -411.21        23013       2078.9      -411.21        23013            0            0            0       24.876      0.88439           25       5.7065      -6112.3         9658        767.9     0.058282     -0.24768   -0.0087984            0       2550.7      0.16599       1.0411       0.0574            0            0            0            0            0            0            0            0            0          294         0.58            1  
         15            0            0        1.044      0.11028     0.010072       0.1002     -0.01941       2.8463    -0.066266       2.9126      0.55628    -0.073411    -0.005025    -0.068386       9.4674       9.6737      0.97868       2341.5      -453.57        24396       2341.5      -453.57        24396            0            0            0       24.862      0.90793           25       6.0295      -6499.4        10110       857.71     0.057557     -0.24775   -0.0097998            0       2618.6      0.18684       1.0388     0.060092            0            0            0            0            0            0            0            0            0          294         0.58            1  
         16            0            0       1.1028      0.12282     0.010732      0.11209    -0.021328       2.9675    -0.070608       3.0381      0.58944    -0.081549   -0.0053688     -0.07618       8.9791       9.4292      0.95226       2619.1      -498.37        25769       2619.1      -498.37        25769            0            0            0       24.846      0.93147           25       6.3549      -6886.8        10540       952.78     0.056858     -0.24784    -0.010772            0       2686.5      0.20887       1.0361     0.062702            0            0            0            0            0            0            0            0            0          294         0.58            1  
         17            0            0       1.1611      0.13601     0.011406       0.1246    -0.023348       3.0828    -0.075041       3.1579      0.62262    -0.090119   -0.0057201    -0.084399       8.5369       9.1988      0.92805       2911.5      -545.58        27131       2911.5      -545.58        27131            0            0            0        24.83       0.9548           25       6.6811      -7274.4        10950       1052.9     0.056178     -0.24792    -0.011717            0       2753.8      0.23204       1.0332     0.065228            0            0            0            0            0            0            0            0            0          294         0.58            1  
